what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276567989627
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276568664761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276568665405
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276570263471
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276570266519
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572790164
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572791811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572796439
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572796955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572813519
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276572816851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276573032143
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276573033818
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576108307
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576108748
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576550500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576552935
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576564368
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576568199
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576571950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576572711
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576585871
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276576586272
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577493300
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577494732
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577842514
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577853294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577864405
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1276577894545
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276577902752
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1276577920764
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1276577920897
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1276577921017
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1276577921122
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1276577921313
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1276577921396
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1276577921469
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1276577921469
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1276577921665
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1276577921940
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.106.v200911241851,"org.eclipse.jst.ws.consumption.ui",1276577922339
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1276582290451
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1276582290453
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1276582290465
